1.70455e+00    -2.31370e+00    -7.53493e+00    -7.30052e+00
1.70094e+00    4.65398e+02    4.65401e+02    4.65366e+02
1.70099e+00    9.86321e+01    9.86558e+01    9.86492e+01
1.70455e+00    -2.31370e+00    4.65398e+02    9.86321e+01
1.70094e+00    -7.53493e+00    4.65401e+02    9.86558e+01
1.70099e+00    -7.30052e+00    4.65366e+02    9.86492e+01
1.70099e+00    -7.25793e+00    4.65372e+02    9.86470e+01
1.70179e+00    -6.70156e+00    4.65403e+02    9.86587e+01
1.70265e+00    -5.73602e+00    4.65412e+02    9.86760e+01
1.70351e+00    -4.79326e+00    4.65416e+02    9.86345e+01
1.70436e+00    -3.95337e+00    4.65404e+02    9.86448e+01
1.70534e+00    -3.18538e+00    4.65381e+02    9.86730e+01
1.70620e+00    -2.25283e+00    4.65353e+02    9.86930e+01
1.70705e+00    -1.31703e+00    4.65356e+02    9.86500e+01
1.70803e+00    -4.25915e-01    4.65374e+02    9.86100e+01
1.70889e+00    5.09086e-01    4.65349e+02    9.86152e+01
1.70975e+00    1.29333e+00    4.65375e+02    9.85712e+01
1.71060e+00    2.25747e+00    4.65387e+02    9.85473e+01
1.71141e+00    3.13728e+00    4.65404e+02    9.85907e+01
1.71141e+00    3.08865e+00    4.65387e+02    9.85877e+01
1.71138e+00    3.03064e+00    4.65404e+02    9.86633e+01
1.71138e+00    3.02669e+00    4.65402e+02    9.86633e+01
1.71138e+00    3.02405e+00    4.65397e+02    9.86797e+01
