1.70093e+00    -7.60719e+00    -7.29860e+00    -7.30448e+00
1.70100e+00    4.64390e+02    4.64407e+02    4.64408e+02
1.70100e+00    9.67293e+01    9.67336e+01    9.67021e+01
1.70093e+00    -7.60719e+00    4.64390e+02    9.67293e+01
1.70100e+00    -7.29860e+00    4.64407e+02    9.67336e+01
1.70100e+00    -7.30448e+00    4.64408e+02    9.67021e+01
1.70142e+00    -7.07021e+00    4.64373e+02    9.66992e+01
1.70228e+00    -6.16859e+00    4.64358e+02    9.66789e+01
1.70326e+00    -5.14527e+00    4.64361e+02    9.66833e+01
1.70412e+00    -4.33956e+00    4.64357e+02    9.66461e+01
1.70510e+00    -3.31912e+00    4.64387e+02    9.67192e+01
1.70595e+00    -2.56364e+00    4.64385e+02    9.67497e+01
1.70681e+00    -1.63233e+00    4.64395e+02    9.67475e+01
1.70779e+00    -6.68802e-01    4.64378e+02    9.67462e+01
1.70852e+00    1.41870e-01    4.64347e+02    9.67198e+01
1.70950e+00    1.05550e+00    4.64316e+02    9.66966e+01
1.71036e+00    1.91795e+00    4.64351e+02    9.66682e+01
1.71133e+00    2.85883e+00    4.64370e+02    9.66321e+01
1.71141e+00    3.08047e+00    4.64369e+02    9.66360e+01
1.71139e+00    3.00262e+00    4.64382e+02    9.67016e+01
1.71138e+00    3.00462e+00    4.64362e+02    9.66817e+01
1.71138e+00    3.01446e+00    4.64362e+02    9.66678e+01
1.71138e+00    3.00217e+00    4.64379e+02    9.67381e+01
