-9.45400e-03    -1.03866e+02    -1.03346e+02    -1.03321e+02
-8.97900e-03    9.41878e+03    9.41880e+03    9.41882e+03
-8.79000e-03    1.00292e+02    1.00292e+02    1.00292e+02
-9.45400e-03    -1.03866e+02    9.41878e+03    1.00292e+02
-8.97900e-03    -1.03346e+02    9.41880e+03    1.00292e+02
-8.79000e-03    -1.03321e+02    9.41882e+03    1.00292e+02
-7.69700e-03    -1.02214e+02    9.41880e+03    1.00292e+02
-6.74000e-03    -1.01244e+02    9.41879e+03    1.00292e+02
-5.78400e-03    -1.00224e+02    9.41874e+03    1.00292e+02
-4.69000e-03    -9.93332e+01    9.41879e+03    1.00292e+02
-3.73400e-03    -9.83226e+01    9.41880e+03    1.00292e+02
-1.68400e-03    -9.61597e+01    9.41869e+03    1.00292e+02
-7.27000e-04    -9.53194e+01    9.41868e+03    1.00292e+02
2.30000e-04    -9.42744e+01    9.41873e+03    1.00292e+02
1.14100e-03    -9.32905e+01    9.41875e+03    1.00292e+02
2.23400e-03    -9.22509e+01    9.41867e+03    1.00292e+02
3.15900e-03    -9.13549e+01    9.41867e+03    1.00292e+02
4.23800e-03    -9.03110e+01    9.41869e+03    1.00292e+02
5.19500e-03    -8.92879e+01    9.41871e+03    1.00292e+02
6.15200e-03    -8.83571e+01    9.41872e+03    1.00292e+02
7.24500e-03    -8.73095e+01    9.41874e+03    1.00292e+02
8.20200e-03    -8.62960e+01    9.41866e+03    1.00292e+02
9.15800e-03    -8.53423e+01    9.41877e+03    1.00292e+02
9.44800e-03    -8.49818e+01    9.41876e+03    1.00292e+02
9.41400e-03    -8.50473e+01    9.41879e+03    1.00292e+02
9.40400e-03    -8.50367e+01    9.41880e+03    1.00292e+02
